长得太美是一种什么样的感觉？（赞同数 24万+）
你有哪些提升自我的好习惯？（赞同数 21万+）
你在你男/女朋友的手机里发现过什么秘密？（赞同数 23万+）
为什么女生提分手，男生都基本答应？（赞同数 25万+）
学霸的作息是怎样的，为什么都不会困？（赞同数 25万+）
如何长时间高效学习？（赞同数 25万+）
女朋友像「智障」是种怎样的体验？（赞同数 28万+）
人类有没有可能是被设计出来的？（赞同数 25万+）
有哪些道理你后悔没有早点知道？（赞同数 24万+）
有哪些读书学不来，却很重要的素质？（赞同数 25万+）
你觉得自己牛逼在哪儿？为什么会这样觉得？（赞同数 70,985）
数学里的 e 为什么叫做自然底数？是不是自然界里什么东西恰好是 e？（赞同数 70,304）
17岁少女月入十万，代价却是毁掉他人一生。（赞同数 70,121）
装逼成功是种怎样的体验？（赞同数 75,884）
被不会撩妹的男人强撩是什么体验？（赞同数 69,804）
哪些实用的小方法、小技巧、好习惯能让人每天进步？（赞同数 69,268）
与老板发生了性关系，要不要辞职?（赞同数 68,960）
有哪些写出来让人尴尬到脸酸的文章或段子？（赞同数 68,934）
有没有一部电影让你在深夜中痛哭？（赞同数 68,550）
男女交往中男性的核心竞争力是什么？（赞同数 67,908）
贫穷有多可怕？（赞同数 67,854）
